"List of products
Product names should be unique.",,,,
Product,Vendor,Comment,Link,Components
Worldpay,Worldplay,,https://www.pymnts.com/retail/,Payment processorMobile ticketingAPC On-Board ComputerAPC On-Board ComputerAPC SoftwareAPC SensorsAPC SensorsConsolidated ReportingWeb-based trip plannerReportingWeb-based trip plannerAVL SoftwareAVL On-board ComputerAVL SoftwareSchedulingRun cuttingFleet MaintenanceInventoryPurchasingAnnunciatorAPC On-Board ComputerAPC SoftwareOffboard signageOver-air communicationsOffboard signageInterior signageComputer Automated DispatchAutomated vehicle locationsConsolidated ReportingSchedulingFareboxFareboxFareboxFareboxFareboxTicket vending machinesFareboxFareboxTicket vending machinesMobile ticketingWeb-based trip plannerHeadsignsOffboard signage
Token Transit Mobile Ticketing,Token Transit,,https://tokentransit.com/,Payment processorMobile ticketingAPC On-Board ComputerAPC On-Board ComputerAPC SoftwareAPC SensorsAPC SensorsConsolidated ReportingWeb-based trip plannerReportingWeb-based trip plannerAVL SoftwareAVL On-board ComputerAVL SoftwareSchedulingRun cuttingFleet MaintenanceInventoryPurchasingAnnunciatorAPC On-Board ComputerAPC SoftwareOffboard signageOver-air communicationsOffboard signageInterior signageComputer Automated DispatchAutomated vehicle locationsConsolidated ReportingSchedulingFareboxFareboxFareboxFareboxFareboxTicket vending machinesFareboxFareboxTicket vending machinesMobile ticketingWeb-based trip plannerHeadsignsOffboard signage
Genfare Link,Genfare,,https://www.genfare.com/fare-management-solutions/genfare-link/,
Genfare FastFare,Genfare,,https://www.genfare.com/fare-management-solutions/genfare-link/payment-devices/,
Genfare FastFare E,Genfare,,https://www.genfare.com/fare-management-solutions/genfare-link/payment-devices/,
Genfare Odyssey Plus,Genfare,,https://www.genfare.com/fare-management-solutions/genfare-link/payment-devices/,
Genfare Cardquest,Genfare,,https://www.genfare.com/fare-management-solutions/genfare-link/payment-devices/,
Genfare Odyssey,Genfare,,https://www.genfare.com/fare-management-solutions/genfare-link/payment-devices/,
Genfare Transview,Genfare,,https://www.genfare.com/fare-management-solutions/genfare-link/payment-devices/,
Genfare Pacemaker,Genfare,,https://www.genfare.com/fare-management-solutions/genfare-link/payment-devices/,
Genfare Vendstar 4,Genfare,,https://www.genfare.com/fare-management-solutions/genfare-link/payment-devices/,
Genfare Vendstar E,Genfare,,https://www.genfare.com/fare-management-solutions/genfare-link/payment-devices/,
Genfare Mobile Link,Genfare,,https://www.genfare.com/fare-management-solutions/mobile-link/,
UTA SmartSensor Interface,UTA,Aggregates counts; Receives discrete inputs from bus I/O system; Generates APC Data Records,http://www.utatransit.net/apchardware/components,
UTA Model 30 CPU,UTA,"Merges SmartSensor APC Data Records with GPS, Time, Date; Transmits APC Data via Wi-Fi or Cellular",http://www.utatransit.net/apchardware/components,
UTA APC Software,UTA,,http://www.utatransit.net/apcsoftware,
UTA Overhead APC Sensors,UTA,,http://www.utatransit.net/sensors,
UTA Horizontal APC Sensors,UTA,,http://www.utatransit.net/sensors,
TransTrack Manager,TransTrack,,https://www.transtracksystems.net/transtrack-manager,
Connexionz AVA,Connexionz,,https://www.connexionz.com/products-services/#!automated-voice-annunciator,Payment processorMobile ticketingAPC On-Board ComputerAPC On-Board ComputerAPC SoftwareAPC SensorsAPC SensorsConsolidated ReportingWeb-based trip plannerReportingWeb-based trip plannerAVL SoftwareAVL On-board ComputerAVL SoftwareSchedulingRun cuttingFleet MaintenanceInventoryPurchasingAnnunciatorAPC On-Board ComputerAPC SoftwareOffboard signageOver-air communicationsOffboard signageInterior signageComputer Automated DispatchAutomated vehicle locationsConsolidated ReportingSchedulingFareboxFareboxFareboxFareboxFareboxTicket vending machinesFareboxFareboxTicket vending machinesMobile ticketingWeb-based trip plannerHeadsignsOffboard signage
Connexionz APC,Connexionz,,https://www.connexionz.com/products-services/#!automatic-passenger-counters,
Connextionz Busfinder,Connexionz,,https://www.connexionz.com/products-services/#!busfinder,
Connextionz Communication Devices,Connexionz,Needs more detail,https://www.connexionz.com/products-services/#!routers-and-communication-devices,
Connextionz Vehicle and Shelter Displays,Connexionz,,https://www.connexionz.com/products-services/#!vehicle-and-shelter-displays,
Connextionz CAD/AVL,Connexionz,,https://www.connexionz.com/products-services/#!cad-avl,
Connextionz Route Planning,Connexionz,,https://www.connexionz.com/products-services/#!route-planning,
Connextionz Performance Dashboard,Connexionz,,https://www.connexionz.com/products-services/#!system-analytics,
Transit App,Transit App,,,
Google trip planner,Google,,,
GRaaS,Cal-ITP,,,
Optibus,Optibus,,,
TransiTrack EAM,TransTrack,,https://www.transtracksystems.net/transtrack-eam,
Hanover Headsigns,Hanover,,,
Sunrise CDP,SunriseSESA,,https://web.sunrisesesatech.com/products/sunrise-transit-products/cdp-series,
