"List of important directional relationships between components, the data which should be transmitted, and the standard.
Key is (Component A, Component B, Standard, Mechanism)",,,,,,,,
Component A,Component B,Information ,Standard,Mechanism,absm_id,Centralized Vehicle Model,Parallel Vehicle Model,Direction
Scheduling,GTFS generation,,,,Scheduling|GTFS generation||,,TRUE,
Scheduling,Run cutting,,,,Scheduling|Run cutting||,,TRUE,
Scheduling,Computer Automated Dispatch,,,,Scheduling|Computer Automated Dispatch||,,TRUE,
Scheduling,Service alerts,,,,Scheduling|Service alerts||,,TRUE,
Scheduling,Real-time info,,,,Scheduling|Real-time info||,,TRUE,
Run cutting,Driver Assignment,,,,Run cutting|Driver Assignment||,,TRUE,
Computer Automated Dispatch,Mobile data terminal,,,,Computer Automated Dispatch|Mobile data terminal||,,TRUE,
Automated vehicle locations,Server,,,,Automated vehicle locations|Server||,,TRUE,
Mobile data terminal,Server,,,,Mobile data terminal|Server||,,TRUE,
Farebox,Server,,,,Farebox|Server||,,TRUE,
Automatic passenger counters,Server,,,,Automatic passenger counters|Server||,,TRUE,
Server,Real-time info,,,,Server|Real-time info||,,TRUE,
Mobile data terminal,Headsigns,,,,Mobile data terminal|Headsigns||,,TRUE,
Mobile data terminal,Interior signage,,,,Mobile data terminal|Interior signage||,,TRUE,
Mobile data terminal,Annunciator,,,,Mobile data terminal|Annunciator||,,TRUE,
GTFS generation,Transit Atlas',"Schedules, fares, pathways",GTFS Schedule,Auto-triggered push,GTFS generation|Transit Atlas'|GTFS Schedule|Auto-triggered push,,TRUE,
Real-time info,Transit Atlas',Realtime updates,GTFS Trip Updates,Auto-triggered push,Real-time info|Transit Atlas'|GTFS Trip Updates|Auto-triggered push,,TRUE,
Real-time info,Transit Atlas',Realtime updates,GTFS Vehicle Locations,Auto-triggered push,Real-time info|Transit Atlas'|GTFS Vehicle Locations|Auto-triggered push,,TRUE,
Transit Atlas',Web-based trip planner,"Schedules, fares, pathways",GTFS Schedule,API request,Transit Atlas'|Web-based trip planner|GTFS Schedule|API request,,,
Transit Atlas',Web-based trip planner,Realtime updates,GTFS Trip Updates,API request,Transit Atlas'|Web-based trip planner|GTFS Trip Updates|API request,,,
Transit Atlas',Web-based trip planner,Realtime updates,GTFS Vehicle Locations,API request,Transit Atlas'|Web-based trip planner|GTFS Vehicle Locations|API request,,,
Computer Automated Dispatch,Vehicle Logic Unit,,,,Computer Automated Dispatch|Vehicle Logic Unit||,TRUE,,
Vehicle Logic Unit,Mobile data terminal,,,,Vehicle Logic Unit|Mobile data terminal||,TRUE,,
Mobile data terminal,Vehicle Logic Unit,,,,Mobile data terminal|Vehicle Logic Unit||,TRUE,,
Farebox,Vehicle Logic Unit,,,,Farebox|Vehicle Logic Unit||,TRUE,,
AVL On-board Computer,Vehicle Logic Unit,,,,AVL On-board Computer|Vehicle Logic Unit||,TRUE,,
APC Sensors,APC On-Board Computer,,,,APC Sensors|APC On-Board Computer||,TRUE,,
APC On-Board Computer,Vehicle Logic Unit,,,,APC On-Board Computer|Vehicle Logic Unit||,TRUE,,
Vehicle Logic Unit,Annunciator,,,,Vehicle Logic Unit|Annunciator||,TRUE,,
Vehicle Logic Unit,Headsigns,,,,Vehicle Logic Unit|Headsigns||,TRUE,,
Vehicle Logic Unit,Interior signage,,,,Vehicle Logic Unit|Interior signage||,TRUE,,
Vehicle Logic Unit,Server,,,,Vehicle Logic Unit|Server||,TRUE,,
Mobile ticketing,Server,,,,Mobile ticketing|Server||,,,
Server,Reporting,,,,Server|Reporting||,,,
Server,Scheduling,Ridership,,,Server|Scheduling||,,,
Server,Scheduling,On-time performance,,,Server|Scheduling||,,,
